brand_reply_id,brand_reply_text,customer_tweet_id,customer_author_id,customer_text,created_at,is_substantive
609,"@115818 Glad to check. Pls, DM your confirmation number for assistance.  *QB https://t.co/6iDGBJAc2m",611,115818,@DELTA i booked my flight using delta amex card. Checking in now &amp; was being charged for baggage,Sat Aug 06 01:31:50 +0000 2016,False
790,@115882 I'm sorry. The earlier flight may not have been available at the time of your scheduled change. *TMT,792,115882,"@Delta why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning.",Tue Oct 31 21:33:48 +0000 2017,True
799,"@115883 I sincerely apologize, our IT team is diligently working on it, we should have it up and working very soon.  *TMC",801,115883,"@Delta The ""change flight"" search option on your website is broken once again.  😑",Sun Oct 29 15:59:35 +0000 2017,True
802,"@115884 Oh, no! Please speak to a member of the flt crew for immediate assistance. *AAB",803,115884,.@delta this has been my inflight studio experience today. Nothing works except Twitter #toobadforyouandme https://t.co/VLo4ufL73y,Tue Oct 31 21:33:27 +0000 2017,True
813,"@115885 Hi, Richard. Can you pls DM your confirmation number so I may look into this matter for you? Thanks! *TJF https://t.co/6iDGBJAc2m",814,115885,"@Delta I'm flying JFK-MEX-MID tomorrow and you say I'm booked in, but it looks like it's just the first leg. Can you check, please?",Tue Oct 31 16:37:26 +0000 2017,False
815,@115886 We sincerely apologize for your disappointment. We always strive to create a positive customer experience. *AJC,817,115886,@delta #delta moves you to #dm the moment you have a #complaint with no results. Just got some #bs #answers but no real reason why they changed our #seating!,Tue Oct 31 21:22:28 +0000 2017,True
1837,@116119 Thank you. Please reach out to the Flight Attendants for assistance.  *TMT,1838,116119,@Delta I'm On Flight DL4047 to CLE. There is a man in 3A who is moaning in pain and sweating. He's not well.,Tue Oct 31 22:11:11 +0000 2017,False
1839,@116120 Oh! Thanks for noticing! 😃 *TMT,1840,116120,Dear cute flight attendant @delta. I’m board...just sayin’,Tue Oct 31 22:13:14 +0000 2017,False
1843,@116121 I am showing DL 1262 is from LAS JFK?  *HRO,1844,116121,@Delta hi. Any news why DL1262 diverted to AUS and DL1738 to SMF? Thanks,Tue Oct 31 21:44:59 +0000 2017,False
1847,@116122 Please follow this link for your request. Thank you.  https://t.co/an5C61CZZt *TMT,1848,116122,@Delta I sent you guys a DM about a story! Thanks in advance for any help you can provide. 🎃,Tue Oct 31 21:44:12 +0000 2017,False
1849,"@116123 Hey there, unfortunately, we are not able to assist with this request.  *TLT",1851,116123,"@Delta I was on flight 2222 LAX to ATL at 645am I'm trying to forward a message to one of the FAs, are you able to assist?",Tue Oct 31 21:44:18 +0000 2017,False
1853,"@116124 Enjoy, have a great week. 😊 *TBT",1854,116124,"@Delta I love the sky lounge access. Thank you. Imagine if they had a ""dark or more dim room"" to relax. That's next level!!",Tue Oct 31 21:52:53 +0000 2017,False
1856,"@77483 Hi, Jenna. I apologize for your seating issue. Pls DM your conf # if I may assist, *AAB",1858,77483,@Delta just don’t know what I gotta do to not be treated like crap. Apparently spending thousands on your Amex isn’t cutting it.,Tue Oct 31 21:46:37 +0000 2017,False
1862,@116126 I’d be delighted to assist. Please follow and DM your confirmation number.  *AFC https://t.co/6iDGBJAc2m,1863,116126,@Delta booked a code share Korean Air flight on https://t.co/xFTVohudJC; where can I find my confirmation # or ticket # for the KE portion?,Tue Oct 31 21:42:21 +0000 2017,False
